manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Renault,ZOE,Life 40,68,13.08.2020,,0.0,5.3,Electricity,,1,0,1,Moderate,,0,0,,,
Renault,ZOE,Life 40,68,31.07.2020,41077,876.0,102.0,Electricity,,1,0,1,Moderate,11.6,0,0,36.0,-2.200000000000001,95.23 % Energia Solar Utilizada
Renault,ZOE,Life 40,68,30.06.2020,40201,719.0,80.0,Electricity,,1,0,1,Moderate,11.1,0,0,35.6,-2.700000000000001,95.2 % Energia Solar Utilizada
Renault,ZOE,Life 40,68,29.05.2020,39482,632.0,74.0,Electricity,,1,0,1,Moderate,11.8,0,0,36.5,-2.0,75.06% Energia Solar Utilizada
Renault,ZOE,Life 40,68,26.04.2020,38850,114.0,12.0,Electricity,,1,0,1,Moderate,11.2,0,0,35.8,-2.6000000000000014,85.63% Energia Solar Utilizada
Renault,ZOE,Life 40,68,31.03.2020,38736,806.0,93.0,Electricity,,1,0,1,Moderate,11.5,0,0,34.3,-2.3000000000000007,56.29% Energia Solar Utilizada
Renault,ZOE,Life 40,68,29.02.2020,37930,1342.0,153.0,Electricity,,1,0,1,Moderate,11.4,0,0,34.8,-2.4000000000000004,25.22% Energia Solar Utilizada
Renault,ZOE,Life 40,68,02.02.2020,36588,1688.0,198.0,Electricity,,1,0,1,Moderate,11.7,1,0,35.9,-2.1000000000000014,
Renault,ZOE,Life 40,68,31.12.2019,34900,1735.0,250.12,Electricity,,1,0,1,Moderate,14.42,1,0,,0.6199999999999992,
Renault,ZOE,Life 40,68,30.11.2019,33165,1324.0,178.07,Electricity,,1,0,1,Moderate,13.45,0,0,,-0.3500000000000014,
Renault,ZOE,Life 40,68,31.10.2019,31841,2140.0,283.1,Electricity,,1,0,1,Moderate,13.23,0,0,,-0.5700000000000003,
Renault,ZOE,Life 40,68,30.09.2019,29701,1481.0,201.02,Electricity,,1,0,1,Moderate,13.57,0,0,,-0.23000000000000043,
Renault,ZOE,Life 40,68,31.08.2019,28220,2254.0,321.85,Electricity,,1,0,1,Moderate,14.28,1,0,,0.47999999999999865,
Renault,ZOE,Life 40,68,31.07.2019,25966,1563.0,215.27,Electricity,,1,0,1,Moderate,13.77,1,0,,-0.030000000000001137,
Renault,ZOE,Life 40,68,30.06.2019,24403,1368.0,184.14,Electricity,,1,0,1,Moderate,13.46,1,0,,-0.33999999999999986,
Renault,ZOE,Life 40,68,31.05.2019,23035,1434.0,206.93,Electricity,,1,0,1,Moderate,14.43,1,0,,0.629999999999999,
Renault,ZOE,Life 40,68,30.04.2019,21601,1891.0,258.22,Electricity,,1,0,1,Moderate,13.66,1,0,,-0.14000000000000057,
Renault,ZOE,Life 40,68,31.03.2019,19710,1794.0,255.68,Electricity,,1,0,1,Moderate,14.25,1,0,,0.4499999999999993,
Renault,ZOE,Life 40,68,28.02.2019,17916,1753.0,254.36,Electricity,,1,0,1,Moderate,14.51,1,0,,0.7099999999999991,
Renault,ZOE,Life 40,68,31.01.2019,16163,1872.0,287.18,Electricity,,1,0,1,Moderate,15.34,1,0,,1.5399999999999991,
