manufacturer,version,fuel_date,trip_distance(km),power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Renault,Life R240,01.08.2017,546,65,65.3,Summer tires,1,0,1,Moderate,11,0,0,22,-2.8,
Renault,Life R240,17.04.2017,762,65,112,Winter tires,1,0,0,Moderate,13,0,0,20,-0.8,
Renault,Life R240,04.03.2017,75,65,15.7,Winter tires,0,1,0,Normal,16,0,0,50,2.2,ikea
Renault,Life R240,26.02.2017,121,65,25.7,Winter tires,1,0,0,Moderate,16.6,0,1,25,2.8,RW 130km 
Renault,Life R240,21.02.2017,293,65,58.7,Winter tires,1,0,0,Moderate,16.6,0,1,26,2.8,
Renault,Life R240,30.12.2016,281,65,60.4,Winter tires,1,0,0,Moderate,18,0,1,22,4.2,-5C
Renault,Life R240,16.12.2016,101,65,20,Summer tires,1,0,0,Moderate,18,0,1,20,4.2,"0 Grad, eins weniger ladestrom"
Renault,Life R240,22.11.2016,136,65,26.65,Summer tires,1,0,1,Moderate,15.7,0,1,40.4,1.9,
Renault,Life R240,18.11.2016,91,65,18.1,Summer tires,1,0,0,Moderate,17.4,0,1,19.2,3.6,
Renault,Life R240,12.11.2016,97,65,22.5,Summer tires,1,0,0,Moderate,14.3,0,1,23.8,0.5,0 Grad
Renault,Life R240,16.10.2016,155,65,24.85,Summer tires,1,0,0,Moderate,13,0,1,22.7,-0.8,
Renault,Life R240,09.10.2016,119,65,19.8,Summer tires,1,0,0,Moderate,12.5,0,1,25,-1.3,
Renault,Life R240,20.09.2016,192,65,26,Summer tires,1,0,0,Moderate,11.6,0,0,25.3,-2.2,
Renault,Life R240,10.09.2016,338,65,46,Summer tires,1,0,1,Moderate,11.4,0,0,27.6,-2.4,extern
Renault,Life R240,30.08.2016,149,65,21,Summer tires,1,0,0,Moderate,11.4,0,0,26.4,-2.4,
Renault,Life R240,06.08.2016,157,65,21,Summer tires,1,0,0,Moderate,11.3,0,0,28,-2.5,
Renault,Life R240,31.07.2016,130,65,18,Summer tires,1,0,1,Moderate,11.4,0,0,25,-2.4,
Renault,ZOE Intens,01.03.2017,410,65,66,Winter tires,1,0,1,Moderate,16.1,1,0,36.5,2.3,
Renault,Zoe R90 41kwh,07.07.2017,265,68,30,Winter tires,1,1,1,Normal,11.9,1,0,25.9,-1.9,Ricarica ancora gratuita 
Renault,ZOE Intens R240,28.05.2020,371,43,54,Summer tires,1,0,1,Normal,14.7,0,0,36.2,0.9,"22,0 kWh kostenpflichtig"
Renault,ZOE Intens R240,30.04.2020,207,43,30,Summer tires,1,0,1,Normal,14.7,0,0,38.3,0.9,"17,8 kWh kostenpflichtig"
Renault,ZOE Intens R240,14.04.2020,151,43,22,Winter tires,1,0,1,Normal,14.4,0,0,46.2,0.6,
Renault,ZOE Intens R240,31.03.2020,379,43,62,Winter tires,1,0,1,Normal,16.4,0,0,32.3,2.6,"58,7 kWh kostenpflichtig"
Renault,ZOE Intens R240,29.02.2020,614,43,116,Winter tires,1,0,1,Normal,19,0,0,32.5,5.2,"152,8 kWh kostenpflichtig inkl. Ladeverluste"
Renault,ZOE Intens R240,31.01.2020,558,43,107,Winter tires,1,0,1,Normal,19.3,0,0,30,5.5,"112,2 kWh kostenpflichtig inkl. Ladeverluste"
Renault,ZOE Intens R240,31.12.2019,506,43,98,Winter tires,1,0,1,Normal,19.5,0,0,32.9,5.7,"57,1 kWh kostenpflichtig geladen"
Renault,ZOE Intens R240,30.11.2019,252,43,46,Winter tires,1,0,1,Normal,18.5,0,0,29.5,4.7,"20,5 kWh über Heimzähler"
Renault,ZOE Intens R240,31.10.2019,173,43,28,Winter tires,1,0,1,Normal,16.3,0,0,36.7,2.5,"37,3 kWh laut Heimzähler"
Renault,ZOE Intens R240,26.10.2019,496,43,76,Summer tires,1,0,1,Normal,15.4,0,0,34.5,1.6,"82,7 kWh inkl Ladeverlust"
Renault,ZOE Intens R240,30.09.2019,703,43,102,Summer tires,1,0,1,Normal,14.6,0,0,29.7,0.8,"99,9 kWh kostenpflichtig"
Renault,ZOE Intens R240,31.08.2019,551,43,73,Summer tires,1,0,1,Normal,13.4,0,0,32.4,-0.4,68 kWh kostenpflichtig 
Renault,ZOE Intens R240,06.08.2019,89,43,11,Summer tires,1,0,1,Normal,12.7,0,0,37.7,-1.1,
Renault,ZOE Intens R240,31.07.2019,429,43,56,Summer tires,1,0,1,Normal,13.1,0,0,34.9,-0.7,"66,1 kWh kostenpflichtig inkl. Ladeverluste"
Renault,ZOE Intens R240,29.06.2019,511,43,64,Summer tires,1,0,1,Normal,12.6,0,0,31.5,-1.2,"86,8 kWh kostenpflichtig inkl. Klimatisierung und Ladeverluste"
Renault,ZOE Intens R240,02.06.2019,664,43,98,Summer tires,1,0,1,Normal,14.8,0,0,31,1,"104,2 kWh kostenpflichtig geladen (inkl. Ladeverluste)"
Renault,ZOE Intens R240,26.04.2019,458,43,64,Winter tires,1,0,1,Normal,14,0,0,33.2,0.2,"67,1 kWh kostenpflichtig (Ladeverluste inkl.)"
Renault,ZOE Intens R240,01.04.2019,632,43,103,Winter tires,1,0,1,Normal,16.3,0,0,31.5,2.5,"102,9 kWh kostenpflichtig"
Renault,ZOE Intens R240,01.03.2019,583,43,100,Winter tires,1,0,1,Normal,17.3,0,0,32,3.5,"98,3 kWh kostenpflichtig"
Renault,ZOE Intens R240,03.02.2019,630,43,133,Winter tires,1,0,1,Normal,21.1,0,0,28.4,7.3,"118,3 kWh kostenpflichtig "
Renault,ZOE Intens R240,29.12.2018,560,43,105,Winter tires,1,0,1,Normal,18.8,0,0,31,5,"104,3 kWh kostenpflichtig "
Renault,ZOE Intens R240,30.11.2018,822,43,145,Winter tires,1,0,1,Normal,17.7,0,0,32.9,3.9,"141,7 kWh kostenpflichtig"
Renault,ZOE Intens R240,31.10.2018,150,43,25,Winter tires,1,0,1,Normal,17.2,0,0,27.9,3.4,"22,2 kWh kostenpflichtig"
