,manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
0,Tesla Motors,90 D,327,22.06.2020,9841.1,1474.0,Summer tires,1,1,1,Normal,14.98,1,1,,2.28,"4-jahres-garantie abschlussinspektion (80kkm) + klimacheck, bremsflüssigkeit und luftfilter (klima) 431,59<br />ps. die &quot;teuren brocken&quot; haben 8 jahre garantie :-)"
1,Tesla Motors,90 D,327,09.01.2020,10161.5,1571.0,Summer tires,1,1,1,Normal,15.46,1,0,,2.76,ein kompletter rädersatz mit alus und sensoren 844.-
2,Tesla Motors,90 D,327,29.08.2019,10019.0,1413.7,Summer tires,1,1,1,Normal,14.11,1,0,,1.41,
3,Tesla Motors,90 D,327,27.04.2019,4808.0,749.2,Summer tires,1,1,1,Normal,15.58,1,1,,2.88,ab sofort wird nur noch alle 10kkm erfasst :-)
4,Tesla Motors,90 D,327,23.02.2019,5170.0,865.2,Summer tires,1,1,1,Normal,16.74,1,1,,4.04,strom über eigene pv (18kwp)
5,Tesla Motors,90 D,327,24.11.2018,15052.3,2117.4,Summer tires,1,1,0,Normal,14.07,1,1,,1.37,"2 reifen ersetzt (achse), da in einem reifen 2 nägel steckten - kosten 260.-"
6,Tesla Motors,90 D,327,01.04.2018,4745.3,787.5,Summer tires,1,1,0,Normal,16.6,1,1,,3.9,10.- monatsflatrate für öko-strom in der firma
7,Tesla Motors,90 D,327,29.01.2018,5025.4,823.7,Summer tires,1,1,0,Normal,16.39,1,0,,3.69,"ja, doch - teilweise mit Anhängerbetrieb"
8,Tesla Motors,90 D,327,14.10.2017,5116.7,741.6,Summer tires,1,1,1,Normal,14.49,0,0,,1.79,die Kosten ergeben sich durch &quot;Stromspenden&quot; bei kostenlosen Zapfsäulen z.B. Drehstromkiste / Hotels
9,Tesla Motors,90 D,327,10.08.2017,5678.1,810.2,Summer tires,1,1,1,Moderate,14.27,1,0,,1.57,
10,Tesla Motors,90 D,327,22.05.2017,4489.5,701.3,Summer tires,1,1,0,Normal,15.62,1,0,,2.92,"Die eingetragenen Werte sind die vom Bordcomputer erfassten Daten.<br />Der Erfassungszeitraum differiert etwas, für gewöhnlich ca. alle 5.000km erfolgt ein Update.<br />Die &quot;normalen&quot; Ladevorgänge erfolgen an der hauseigenen PV-Anlage."
11,Tesla Motors,85D,310,17.08.2020,15277.0,2389.0,Summer tires,0,0,1,Moderate,15.64,0,0,,2.94,
12,Tesla Motors,85D,310,16.08.2020,15276.0,2389.0,Summer tires,0,0,1,Moderate,15.64,0,0,,2.94,
14,Tesla Motors,P85,306,15.09.2014,4000.0,850.0,Summer tires,0,1,1,Normal,21.25,1,0,,8.55,
15,Tesla Motors,P85,306,11.08.2014,14000.0,3000.0,Summer tires,1,1,1,Fast,21.43,1,0,,8.73,
22,Tesla Motors,S85,285,22.08.2019,11019.0,2410.0,Summer tires,1,1,1,Normal,21.87,1,0,,9.17,2/3 des Stroms war kostenlos
23,Tesla Motors,S85,285,04.04.2019,5852.0,1333.0,Winter tires,1,1,1,Normal,22.78,1,1,,10.08,derzeit die Hälfte etwa kostenlos
24,Tesla Motors,S85,285,04.02.2019,11893.0,2669.0,Winter tires,1,1,1,Normal,22.44,1,1,,9.74,Derzeit so gut wie immer kostenlos Laden beim Arbeitgeber
25,Tesla Motors,S85,285,14.09.2018,3446.0,700.0,Summer tires,1,1,1,Normal,20.31,1,0,,7.61,Derzeit so gut wie immer kostenlos durch Laden beim Arbeitgeber. 
26,Tesla Motors,S85,285,31.07.2018,4460.0,974.0,Summer tires,1,1,1,Normal,21.84,1,0,,9.14,neue kostenlose Ladesäule beim Arbeitgeber
