manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Tesla Motors,85D,310,17.08.2020,15277,2389,Summer tires,0,0,1,Moderate,15.64,0,0,,2.94,
Tesla Motors,85D,310,16.08.2020,15276,2389,Summer tires,0,0,1,Moderate,15.64,0,0,,2.94,
Tesla Motors,85D,310,29.06.2020,185,56,Summer tires,1,0,1,Normal,24.94,1,0,,12.24,
Tesla Motors,85D,310,23.06.2020,224,46,Summer tires,1,0,1,Normal,24.94,1,0,,12.24,
Tesla Motors,85D,310,12.06.2020,3056,553,Summer tires,1,1,1,Normal,18.1,1,0,,5.4,
Tesla Motors,85D,310,15.05.2020,459,114,All-year tires,1,1,1,Normal,24.84,1,1,,12.14,
Tesla Motors,85D,310,28.04.2020,3346,1012,Winter tires,1,1,1,Normal,30.25,1,1,,17.55,
Tesla Motors,85D,310,04.02.2020,1003,527,Winter tires,1,1,1,Normal,35.4,1,1,,22.7,
Tesla Motors,85D,310,27.12.2019,500,5,Winter tires,1,1,1,Normal,35.4,1,1,,22.7,
Tesla Motors,85D,310,13.12.2019,609,212,Winter tires,1,1,1,Normal,31.47,1,1,,18.77,
Tesla Motors,85D,310,01.12.2019,400,315.41,Winter tires,1,1,1,Normal,31.47,1,1,,18.77,
Tesla Motors,85D,310,17.11.2019,788,45.41,Winter tires,0,1,0,Normal,31.47,0,1,,18.77,
Tesla Motors,85D,310,16.11.2019,27,1.18,Winter tires,1,1,1,Normal,31.47,1,1,,18.77,
Tesla Motors,85D,310,15.11.2019,151,64,All-year tires,1,0,1,Normal,42.38,1,1,,29.68,
Tesla Motors,85D,310,11.11.2019,438,136,Summer tires,1,0,1,Normal,24.4,1,1,,11.7,
Tesla Motors,85D,310,27.10.2019,431,76,Summer tires,1,1,1,Fast,24.4,1,1,,11.7,
Tesla Motors,Model S P85,310,11.07.2020,221,37.6,Summer tires,0,1,0,Normal,17.01,1,1,,4.31,
Tesla Motors,Model S P85,310,04.07.2020,851,160.9,Summer tires,0,1,0,Normal,18.91,1,1,,6.21,
Tesla Motors,Model S P85,310,16.05.2020,201,40.2,Summer tires,0,1,0,Normal,20,1,1,,7.3,
Tesla Motors,Model S P85,310,18.04.2020,1060,231.7,Summer tires,0,1,0,Normal,21.86,1,1,,9.16,
Tesla Motors,Model S P85,310,29.01.2020,403,92,Summer tires,0,1,0,Normal,22.83,1,1,,10.13,
Tesla Motors,Model S P85,310,18.01.2020,191,46.4,Summer tires,0,1,0,Normal,24.29,1,1,,11.59,
Tesla Motors,Model S P85,310,29.12.2019,182,46,Summer tires,0,1,0,Normal,25.27,1,1,,12.57,
Tesla Motors,Model S P85,310,30.11.2019,672,146.4,Summer tires,0,1,0,Normal,21.79,1,1,,9.09,
Tesla Motors,Model S P85,310,10.10.2019,1308,236.3,Summer tires,0,1,0,Normal,18.07,1,1,,5.37,
Tesla Motors,Model S P85,310,17.09.2019,301,52.1,Summer tires,0,1,0,Normal,17.31,1,1,,4.61,
Tesla Motors,Model S P85,310,07.09.2019,403,72.9,Summer tires,0,1,0,Normal,18.09,1,1,,5.39,
Tesla Motors,Model S P85,310,24.08.2019,150,27.7,Summer tires,0,1,0,Normal,18.47,1,1,,5.77,
Tesla Motors,Model S P85,310,16.08.2019,292,57.1,Summer tires,0,1,0,Normal,19.55,1,1,,6.85,
Tesla Motors,Model S P85,310,24.07.2019,327,55.3,Summer tires,0,1,0,Normal,16.91,1,1,,4.21,
Tesla Motors,Model S P85,310,13.07.2019,358,65,Summer tires,0,1,0,Normal,18.16,1,1,,5.46,
Tesla Motors,Model S P85,310,28.06.2019,727,130.5,Summer tires,0,1,0,Normal,17.95,1,1,,5.25,
Tesla Motors,Model S P85,310,16.06.2019,414,73.8,Summer tires,0,1,0,Normal,17.83,1,1,,5.13,
Tesla Motors,Model S P85,310,10.06.2019,211,43.7,Summer tires,0,1,0,Normal,20.71,1,1,,8.01,
Tesla Motors,Model S P85,310,25.05.2019,638,118.7,Summer tires,0,1,0,Normal,18.61,1,1,,5.91,
Tesla Motors,Model S P85,310,07.05.2019,135,29,Summer tires,0,1,0,Normal,21.48,1,1,,8.78,
Tesla Motors,Model S P85,310,03.05.2019,419,80.8,Summer tires,0,1,0,Normal,19.28,1,1,,6.58,
Tesla Motors,Model S P85,310,14.04.2019,216,44.9,Summer tires,0,1,0,Normal,20.79,1,1,,8.09,
Tesla Motors,Model S P85,310,05.04.2019,557,109.8,Winter tires,0,1,0,Normal,19.71,1,1,,7.01,
Tesla Motors,Model S P85,310,24.03.2019,1274,245.6,Winter tires,0,1,0,Normal,19.28,1,1,,6.58,
Tesla Motors,Model S P85,310,05.03.2019,211,43.5,Winter tires,0,1,0,Normal,20.62,1,1,,7.92,
Tesla Motors,Model S P85,310,02.03.2019,66,13.8,Winter tires,0,1,0,Normal,20.91,1,1,,8.21,
Tesla Motors,Model S P85,310,28.02.2019,319,64.5,Winter tires,0,1,0,Normal,20.22,1,1,,7.52,
Tesla Motors,Model S P85,310,25.02.2019,81,17,Winter tires,0,1,0,Normal,20.99,1,1,,8.29,
Tesla Motors,Model S P85,310,23.02.2019,227,48.7,Winter tires,0,1,0,Normal,21.45,1,1,,8.75,
Tesla Motors,Model S P85,310,19.02.2019,118,23.1,Winter tires,0,1,0,Normal,19.58,1,1,,6.88,
Tesla Motors,Model S P85,310,17.02.2019,132,27,Winter tires,0,1,0,Normal,20.45,1,1,,7.75,
Tesla Motors,Model S P85,310,16.02.2019,339,67.1,Winter tires,0,1,0,Normal,19.79,1,1,,7.09,
Tesla Motors,Model S P85,310,15.02.2019,415,91.6,Winter tires,0,1,0,Normal,22.07,1,1,,9.37,
Tesla Motors,Model S P85,310,09.02.2019,548,115.5,Winter tires,0,1,0,Normal,21.08,1,1,,8.38,
Tesla Motors,Model S P85,310,02.02.2019,496,110.1,Winter tires,0,1,0,Normal,22.2,1,1,,9.5,
Tesla Motors,Model S P85,310,28.01.2019,555,122.4,Winter tires,0,1,0,Normal,22.05,1,1,,9.35,
Tesla Motors,Model S P85,310,20.01.2019,257,58.7,Winter tires,0,1,0,Normal,22.84,1,1,,10.14,
Tesla Motors,Model S P85,310,15.01.2019,398,94,Winter tires,0,1,0,Normal,23.62,1,1,,10.92,
Tesla Motors,Model S P85,310,03.01.2019,468,106.3,Winter tires,0,1,0,Normal,22.71,1,1,,10.01,
Tesla Motors,Model S P85,310,23.12.2018,151,33.8,Winter tires,0,1,0,Normal,22.38,1,1,,9.68,
Tesla Motors,Model S P85,310,18.12.2018,120,30.5,Winter tires,0,1,0,Normal,25.42,1,1,,12.72,
