manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Tesla Motors,Model 3,250,17.07.2020,3,1,Summer tires,1,0,0,Moderate,26.3,1,0,22,,
Tesla Motors,Model 3,250,17.07.2020,20,4.5,Summer tires,1,0,0,Moderate,21.5,1,0,56,,
Tesla Motors,Model 3,250,18.07.2020,21,3,Summer tires,1,0,0,Moderate,13.6,0,0,75,,
Tesla Motors,Model 3,250,18.07.2020,19,3.5,Summer tires,1,0,0,Moderate,17.9,0,0,78,,
Tesla Motors,Model 3,250,20.07.2020,15,2,Summer tires,1,0,0,Moderate,12.5,1,0,39,,
Tesla Motors,Model 3,250,20.07.2020,15,2.5,Summer tires,1,0,0,Moderate,16.4,1,0,40,,
Tesla Motors,Model 3,250,16.07.2020,5,1,Summer tires,1,0,0,Moderate,19.6,1,0,35,,
Tesla Motors,Model 3,250,21.07.2020,6,1,Summer tires,1,0,0,Moderate,14.6,1,0,43,,
Tesla Motors,Model 3,250,21.07.2020,2,0.5,Summer tires,1,0,0,Moderate,21,1,0,32,,
Tesla Motors,Model 3,250,23.07.2020,2,0.5,Summer tires,1,0,0,Moderate,22.5,1,0,31,,
Tesla Motors,Model 3,250,23.07.2020,1,0.5,Summer tires,1,0,0,Moderate,11.4,0,0,8,,
Tesla Motors,Model 3,250,23.07.2020,1,0.5,Summer tires,1,0,0,Moderate,30.5,0,0,36,,
Tesla Motors,Model 3,250,01.08.2020,4,0.5,Summer tires,1,0,0,Moderate,10.5,1,0,34,,
Tesla Motors,Model 3,250,01.08.2020,2,0.5,Summer tires,1,0,0,Moderate,16.5,1,0,45,,
Tesla Motors,Model 3,250,03.08.2020,50,7.5,Summer tires,1,0,0,Moderate,14.5,1,0,69,,
Tesla Motors,Model 3,250,03.08.2020,52,8,Summer tires,1,0,0,Moderate,15,1,0,70,,
Tesla Motors,Model 3,250,05.08.2020,21,4.5,Summer tires,1,0,0,Moderate,20.7,1,0,57,,
Tesla Motors,Model 3,250,05.08.2020,22,2.5,Summer tires,1,0,0,Moderate,10.8,0,0,57,,
Tesla Motors,Model 3,250,07.08.2020,1,0.5,Summer tires,1,0,0,Moderate,25.3,1,0,46,,
Tesla Motors,Model 3,250,07.08.2020,1,0.5,Summer tires,1,0,0,Moderate,27.7,0,0,45,,
Tesla Motors,Model 3,250,12.08.2020,3,1,Summer tires,1,0,0,Moderate,31.5,1,0,29,,
Tesla Motors,Model 3,250,12.08.2020,3,0.5,Summer tires,1,0,0,Moderate,15.9,1,0,34,,
Tesla Motors,Model 3,250,14.08.2020,7,1.5,Summer tires,1,0,0,Moderate,20.3,1,0,32,,
Tesla Motors,Model 3,250,14.08.2020,6,1.5,Summer tires,1,0,0,Moderate,24.2,1,0,46,,
Tesla Motors,Model 3,250,14.08.2020,65,10,Summer tires,1,0,0,Moderate,15.2,1,0,54,,
Tesla Motors,Model 3,250,14.08.2020,65,10,Summer tires,1,0,0,Moderate,15.1,0,0,43,,
Tesla Motors,Model 3,250,15.08.2020,24,3.5,Summer tires,1,0,0,Moderate,14.3,1,0,59,,
Tesla Motors,Model 3,250,15.08.2020,2,0.5,Summer tires,1,0,0,Moderate,20.4,1,0,26,,
Tesla Motors,Model 3,250,15.08.2020,24,4.5,Summer tires,1,0,0,Moderate,18.2,0,0,82,,
Tesla Motors,Model 3,250,16.08.2020,3,0.5,Summer tires,1,0,0,Moderate,15.9,1,0,28,,
Tesla Motors,Model 3,250,16.08.2020,4,1,Summer tires,1,0,0,Moderate,23.8,1,0,51,,
Tesla Motors,Model 3,250,16.08.2020,4,0,Summer tires,1,0,0,Moderate,0,1,0,44,,
Tesla Motors,Model 3,250,16.08.2020,3,0.5,Summer tires,1,0,0,Moderate,16.2,1,0,35,,
Tesla Motors,Model 3,250,16.08.2020,4,1,Summer tires,1,0,0,Moderate,21.2,1,0,48,,
Tesla Motors,Model 3,250,16.08.2020,23,4,Summer tires,1,0,0,Moderate,17.2,1,0,77,,
Tesla Motors,Model 3,250,16.08.2020,26,4.5,Summer tires,1,0,0,Moderate,17.2,1,0,67,,
Tesla Motors,Model 3,250,17.08.2020,6,1,Summer tires,1,0,0,Moderate,15.5,1,0,39,,
Tesla Motors,Model 3,250,17.08.2020,6,1,Summer tires,1,0,0,Moderate,16.1,1,0,37,,
Tesla Motors,Model 3,250,18.08.2020,12,2.5,Summer tires,1,0,0,Moderate,19.1,1,0,17,,
Tesla Motors,Model 3,250,20.08.2020,4,0.5,Summer tires,1,0,0,Moderate,11.6,1,0,53,,
Tesla Motors,Model 3,250,22.08.2020,3,0.5,Summer tires,1,0,0,Moderate,15.2,1,0,35,,
Tesla Motors,Model 3,250,22.08.2020,3,1,Summer tires,1,0,0,Moderate,28.1,1,0,49,,
Tesla Motors,Model 3,250,09.09.2020,26,4,Summer tires,1,0,0,Moderate,15.1,1,0,77,,
Tesla Motors,Model 3,250,09.09.2020,27,4,Summer tires,1,0,0,Moderate,14.4,0,0,63,,
