manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Renault,Life R240,65,01.08.2017,546,65.3,Summer tires,1,0,1,Moderate,11,0,0,22,-2.8,
Renault,Life R240,65,17.04.2017,762,112,Winter tires,1,0,0,Moderate,13,0,0,20,-0.8,
Renault,Life R240,65,04.03.2017,75,15.7,Winter tires,0,1,0,Normal,16,0,0,50,2.2,ikea
Renault,Life R240,65,26.02.2017,121,25.7,Winter tires,1,0,0,Moderate,16.6,0,1,25,2.8,RW 130km 
Renault,Life R240,65,21.02.2017,293,58.7,Winter tires,1,0,0,Moderate,16.6,0,1,26,2.8,
Renault,Life R240,65,30.12.2016,281,60.4,Winter tires,1,0,0,Moderate,18,0,1,22,4.2,-5C
Renault,Life R240,65,16.12.2016,101,20,Summer tires,1,0,0,Moderate,18,0,1,20,4.2,"0 Grad, eins weniger ladestrom"
Renault,Life R240,65,22.11.2016,136,26.65,Summer tires,1,0,1,Moderate,15.7,0,1,40.4,1.9,
Renault,Life R240,65,18.11.2016,91,18.1,Summer tires,1,0,0,Moderate,17.4,0,1,19.2,3.6,
Renault,Life R240,65,12.11.2016,97,22.5,Summer tires,1,0,0,Moderate,14.3,0,1,23.8,0.5,0 Grad
Renault,Life R240,65,16.10.2016,155,24.85,Summer tires,1,0,0,Moderate,13,0,1,22.7,-0.8,
Renault,Life R240,65,09.10.2016,119,19.8,Summer tires,1,0,0,Moderate,12.5,0,1,25,-1.3,
Renault,Life R240,65,20.09.2016,192,26,Summer tires,1,0,0,Moderate,11.6,0,0,25.3,-2.2,
Renault,Life R240,65,10.09.2016,338,46,Summer tires,1,0,1,Moderate,11.4,0,0,27.6,-2.4,extern
Renault,Life R240,65,30.08.2016,149,21,Summer tires,1,0,0,Moderate,11.4,0,0,26.4,-2.4,
Renault,Life R240,65,06.08.2016,157,21,Summer tires,1,0,0,Moderate,11.3,0,0,28,-2.5,
Renault,Life R240,65,31.07.2016,130,18,Summer tires,1,0,1,Moderate,11.4,0,0,25,-2.4,
Renault,ZOE Intens,65,01.03.2017,410,66,Winter tires,1,0,1,Moderate,16.1,1,0,36.5,2.3,
