battery_range speed temperature temperature_setting battery_level odometer timestamp
3.83 14.6 25.5 18.9 58 2.36 1595009803
20.07 35.3 33.5 18.9 62 12.99 1595023634
14.33 47.0 25.5 21.1 48 13.71 1595096455
14.81 49.4 19.5 21.1 35 12.17 1595139565
10.51 24.7 27.5 21.1 89 9.91 1595276781
11.47 25.7 29.5 21.1 84 9.49 1595281265
3.81 22.6 29.5 15.6 32 3.17 1594956970
3.82 27.1 21.5 21.1 73 4.27 1595349279
1.43 20.6 21.5 21.1 69 1.48 1595352464
2.39 20.0 27.5 21.1 48 1.38 1595563282
1.91 16.6 24.0 21.1 47 2.72 1595564163
0.0 23.3 20.0 21.1 46 1.02 1595566898
2.86 21.6 29.5 20.6 89 2.97 1596320858
1.91 28.5 31.5 20.6 87 1.88 1596321985
32.01 43.6 23.0 20.6 75 32.08 1596470998
37.27 44.4 27.5 17.2 55 33.06 1596486672
21.02 36.0 26.5 17.2 72 13.5 1596666810
8.6 36.1 17.5 17.2 59 14.39 1596673583
1.91 30.0 29.0 16.7 40 1.23 1596852064
1.44 28.5 25.0 16.7 39 1.12 1596856471
3.83 19.0 31.5 16.7 33 1.97 1597284577
1.91 21.9 29.0 16.7 29 1.95 1597286430
6.69 20.3 30.5 16.7 22 4.59 1597435390
6.21 29.2 38.5 16.7 67 3.85 1597437726
44.44 34.4 39.5 16.7 57 40.84 1597445730
46.35 27.3 21.5 16.7 38 41.22 1597461235
17.2 37.1 30.5 18.3 45 15.2 1597512468
1.43 16.6 31.5 18.3 36 1.52 1597517861
19.59 51.8 28.5 18.3 30 15.4 1597558194
1.92 18.3 31.0 18.3 16 1.95 1597595425
2.87 32.6 33.5 18.3 77 2.61 1597597922
1.91 27.9 34.5 18.3 74 2.86 1597598531
3.34 22.3 34.5 18.3 73 1.92 1597599823
3.82 31.0 36.0 18.3 70 2.93 1597600755
16.73 48.1 37.5 18.3 68 14.48 1597605923
20.07 42.4 28.0 18.3 55 16.3 1597638581
5.73 25.0 34.5 18.3 44 4.02 1597706888
5.25 23.6 34.5 18.3 41 3.86 1597708098
10.51 11.2 36.0 18.3 30 8.13 1597799836
3.83 34.1 31.0 21.1 90 2.67 1597974942
1.43 22.3 26.5 21.1 74 2.04 1598118334
3.35 30.9 28.0 21.1 72 2.21 1598119759
17.22 48.6 20.5 19.4 88 16.43 1599674709
19.6 39.9 20.0 20.6 79 17.27 1599677159
0.96 30.4 18.0 20.6 64 2.25 1599755035
4.3 26.4 18.0 20.6 61 3.17 1599760823
17.69 49.1 18.0 20.6 58 16.02 1599762799
20.08 43.3 19.5 20.6 49 16.89 1599764616
2.4 28.2 20.5 20.6 41 3.86 1599767921
4.78 22.5 22.5 20.6 41 4.2 1599774764
2.39 29.7 25.0 20.6 32 2.99 1599867661
2.39 27.9 25.5 20.6 30 2.72 1599868360
1.91 30.4 25.5 20.6 10 1.66 1600116784
3.83 29.0 24.0 20.6 59 4.3 1600193357
5.73 12.7 23.0 20.6 57 4.52 1600194523
3.83 24.7 24.5 20.6 51 4.02 1600271663
1.91 29.0 22.0 20.6 48 2.61 1600277750
2.87 29.6 27.5 20.6 45 2.65 1600304921
2.39 31.5 24.0 20.6 43 2.74 1600308606
1.43 21.2 23.5 17.8 66 1.53 1600967102
3.82 28.3 24.5 17.8 65 3.73 1600970396
15.79 50.3 19.5 17.8 57 16.07 1601050262
19.61 38.2 21.0 17.8 52 14.44 1601056301
4.3 25.3 21.0 21.1 81 5.51 1601563118
7.17 27.9 20.5 21.1 79 7.12 1601565116
0.96 28.6 26.0 21.1 74 2.22 1601572967
5.74 23.3 29.5 21.1 73 3.94 1601577483
4.78 27.9 32.0 21.1 69 5.4 1601592566
9.08 14.8 35.5 21.1 66 7.1 1601593707
1.91 25.0 25.5 21.1 55 3.39 1601657467
4.78 27.2 29.5 21.1 54 3.44 1601661363
47.34 44.4 23.5 21.1 47 39.83 1601744851
4.3 20.8 34.0 21.1 22 3.59 1601755325
17.23 56.6 34.5 21.1 29 14.96 1601756597
22.97 44.8 33.0 21.1 20 18.4 1601757870
1.91 36.6 29.0 21.1 75 1.29 1601860982
1.43 31.7 25.0 21.1 74 1.32 1601863864
3.83 25.3 23.5 21.1 62 4.78 1602001846
5.74 29.1 28.5 21.1 58 4.32 1602010524
19.14 47.6 18.5 21.1 52 17.05 1602086194
22.01 49.5 17.0 21.1 41 16.14 1602088885
1.44 21.8 23.5 21.1 27 1.44 1602103540
