manufacturer,version,fuel_date,trip_distance(km),power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,2018,30.11.2018,1632,100,279,Winter tires,0,0,1,Normal,16.8,0,1,46,4.1,"Mit Ladeverluste, 959 kWh auf Go e Charger﻿, Strompreis 22,13 Cent /kWh"
Volkswagen,2018,01.11.2018,1683,100,263,Summer tires,0,0,1,Normal,15.4,0,1,44,2.7,"Mit Ladeverluste, 680 kWh auf Go e Charger﻿, Strompreis 22,13 Cent /kWh"
Volkswagen,2018,30.09.2018,1846,100,266,Summer tires,0,0,1,Normal,13.4,1,0,45,0.7,"Mit Ladeverluste, 417kWh auf Go e Charher﻿ Strompreis 22,13 Cent /kWh"
Volkswagen,2018,24.07.2018,2639,100,339,Summer tires,0,1,1,Normal,14.1,1,0,44,1.4,"Verbrauch ohne Ladeverluste, da aktuell noch mit Standard Ladegerät von VW geladen wird"
Volkswagen,e-Golf,01.11.2017,1387,85,200.53,Summer tires,1,1,1,Normal,14.48,0,1,52.86,1.78,
Volkswagen,e-Golf,01.10.2017,1670,85,221.86,Summer tires,0,1,1,Normal,13.55,1,0,55.87,0.85,
Volkswagen,e-Golf,30.01.2017,1167,85,267.02,Winter tires,0,0,1,Normal,18.72,1,1,46,6.02,
Volkswagen,e-Golf,19.12.2016,691,85,123.49,Winter tires,0,1,1,Normal,18.26,1,1,56.3,5.56,
Volkswagen,e-Golf,06.12.2016,462,85,108.13,Winter tires,0,1,1,Normal,17.99,0,1,56,5.29,
Volkswagen,e-Golf,28.11.2016,1164,85,235.76,Winter tires,0,1,1,Normal,17.3,1,1,52,4.6,
Volkswagen,e-Golf,07.11.2016,216,85,40.58,Winter tires,0,1,1,Normal,17.6,1,1,48,4.9,
Volkswagen,e-Golf,12.09.2016,292,85,40.3,Summer tires,1,1,1,Normal,13.8,1,0,53,1.1,vom BC gemessen
Volkswagen,e-Golf,05.09.2016,678,85,115.18,Summer tires,1,1,1,Normal,13.7,1,1,54,1,
Volkswagen,e-Golf,16.08.2016,534,85,88.67,Summer tires,1,0,1,Normal,55,1,1,14,42.3,
Volkswagen,e-Golf,08.08.2016,410,85,67.02,Summer tires,0,0,1,Normal,13.5,1,1,57,0.8,
Volkswagen,e-Golf,01.08.2016,671,85,108.32,Summer tires,0,0,1,Normal,13.7,1,1,56,1,
Volkswagen,e-Golf,18.07.2016,1266,85,199.41,Summer tires,1,0,1,Normal,13.4,1,0,53,0.7,
Volkswagen,e-Golf,27.06.2016,726,85,127.58,Summer tires,0,1,1,Normal,14.7,1,0,51,2,
Volkswagen,e-Golf,14.06.2016,1366,85,200.8,Summer tires,0,1,1,Normal,14.7,1,1,49,2,nach BC
Volkswagen,e-Golf,17.05.2016,841,85,123.5,Summer tires,0,1,1,Normal,14.7,1,0,64,2,Langstrecke + CCS
Volkswagen,e-Golf,25.04.2016,515,85,90.3,Summer tires,0,1,1,Normal,14.7,1,1,60,2,1xCCS
Volkswagen,e-Golf,18.04.2016,492,85,92.79,Summer tires,0,1,1,Normal,15.3,1,1,58,2.6,
Volkswagen,e-Golf,11.04.2016,340,85,51.87,Winter tires,1,0,1,Normal,15.3,1,1,56,2.6,nach BC
Volkswagen,e-Golf,05.04.2016,252,85,42.31,Winter tires,1,0,1,Normal,16.4,1,1,56,3.7,nach BC
Volkswagen,e-Golf,29.03.2016,182,85,22.75,Winter tires,1,1,1,Normal,12.5,1,1,59,-0.2,nach BC
Volkswagen,e-Golf,23.03.2016,465,85,77.19,Winter tires,0,1,1,Normal,16.6,1,1,58,3.9,nach BC
Volkswagen,e-Golf,14.03.2016,234,85,41.89,Winter tires,0,1,1,Fast,17.9,1,1,80,5.2,"nach BC, CCS"
Volkswagen,e-Golf,22.01.2016,75,85,16.9,Winter tires,1,1,1,Normal,17.8,1,1,54,5.1,
Volkswagen,e-Golf,21.01.2016,79,85,18.88,Winter tires,0,1,1,Normal,18.1,1,1,62,5.4,
Volkswagen,e-Golf,20.01.2016,81,85,19.97,Winter tires,0,1,1,Normal,18.9,1,1,60,6.2,
Volkswagen,e-Golf,19.01.2016,84,85,20.13,Winter tires,0,1,1,Normal,18.1,1,1,58,5.4,
Volkswagen,e-Golf,15.01.2016,77,85,18.15,Winter tires,0,1,1,Normal,17.7,1,1,62,5,
Volkswagen,e-Golf,14.01.2016,160,85,35.92,Winter tires,0,1,1,Normal,16.4,1,1,55,3.7,
Volkswagen,e-Golf,09.01.2016,81,85,19.51,Winter tires,0,1,1,Normal,18.4,1,1,68,5.7,
Volkswagen,e-Golf,08.01.2016,71,85,16.71,Winter tires,0,1,1,Normal,17.7,1,1,66,5,
Volkswagen,e-Golf,06.01.2016,71,85,15.85,Winter tires,0,1,1,Normal,17.8,1,1,66,5.1,
Volkswagen,e-Golf,05.01.2016,72,85,17.6,Winter tires,0,1,1,Normal,18.3,1,1,50,5.6,Schneechaos
Volkswagen,e-Golf,10.12.2015,78,85,18.28,Winter tires,1,1,1,Fast,17.7,1,1,52,5,
